Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/S11/current/S1139/,SDN:S11::S1139,zoospores,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1149/,SDN:S11::S1149,postlarvae+sub-adult,"",Postlarvae and sub-adults have either been grouped together or cannot be reliably distinguished.,1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1166/,SDN:S11::S1166,auricularia,"",The first stage of larval development of holothurians (sea cucumbers).,1,false,2017-01-24 18:44:32.0
http://vocab.nerc.ac.uk/collection/S11/current/S1167/,SDN:S11::S1167,megalopae,megalops,Organisms at the final larval development stage of decapod crustaceans (e.g. crabs) following the zoea and preceding the adult stage.,2,false,2017-06-17 11:32:14.0
http://vocab.nerc.ac.uk/collection/S11/current/S1152/,SDN:S11::S1152,indeterminate,"",Development stage could not be reliably determined,1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1160/,SDN:S11::S1160,protozoeae,"","Free-swimming planktonic larval forms of decapod crustaceans with three recognised development sub-stages (Dall et al., 1990).",1,false,2010-06-21 16:28:21.0
http://vocab.nerc.ac.uk/collection/S11/current/S1151/,SDN:S11::S1151,postlarvae+juvenile,"",Postlarvae and juveniles have either been grouped together or cannot be reliably distinguished.,1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1156/,SDN:S11::S1156,gamete,"",A reproductive cell (male or female) that has only half the usual number of chromosomes,1,false,2008-10-16 12:54:19.0
http://vocab.nerc.ac.uk/collection/S11/current/S112/,SDN:S11::S112,copepodites C1-C2,C1-2,Grouping of the first 2 sub-stages of the copepodite development stage of the crustacean copepoda sub-class.,3,false,2017-07-30 14:10:59.0
http://vocab.nerc.ac.uk/collection/S11/current/S1119/,SDN:S11::S1119,cyphonautes,"","",1,false,2006-02-17 11:19:39.0
http://vocab.nerc.ac.uk/collection/S11/current/S1169/,SDN:S11::S1169,metanauplii,metanauplius,Organisms from an early larval stage of some crustaceans such as krill.,1,false,2017-06-21 09:03:43.0
http://vocab.nerc.ac.uk/collection/S11/current/S1193/,SDN:S11::S1193,veliger,"",Planktonic larva typical of many marine and freshwater snails and bivalves. The veliger develops from the trochophore larva.,1,false,2021-08-24 11:24:18.0
http://vocab.nerc.ac.uk/collection/S11/current/S1190/,SDN:S11::S1190,postflexion larvae,"",A fish life stage between the completion of notochord flexion and until the start of metamorphosis. Diagnostic characteristics include formation of the caudal fin and attainment of meristic complements such as fin rays.,1,false,2021-04-28 14:30:10.0
