Concept URI,Concept URN,prefLabel,altLabel,Definition,Concept version,Deprecated,Version date and time
http://vocab.nerc.ac.uk/collection/L05/current/302/,SDN:L05::302,water body temperature sensor,"",Sensors that measure the intensity and nature of electromagnetic radiation emitted from the Earth in a manner optimised for the determination of water body surface temperature.,3,false,2010-11-19 14:27:24.0
http://vocab.nerc.ac.uk/collection/L05/current/309/,SDN:L05::309,terrestrial radiometers,"",Sensors that measure the intensity and nature of electromagnetic radiation in a manner optimised for the quantification of terrestrial phenomena.,1,false,2008-01-10 16:23:53.0
http://vocab.nerc.ac.uk/collection/L05/current/311/,SDN:L05::311,cameras,"","All types of photographic equipment used to record visual images. Includes stills, video, film and digital systems.",2,false,2020-09-18 10:36:01.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB48/,SDN:L05::LAB48,isotope ratio mass spectrometers,IRMS,"Instruments that measure isotopic ratios using an electron ionisation source. Atoms in purified samples are ionised using a beam of electrons under vacuum. Subsequently, ions are focused into a beam by an electromagnet and then separated into individual beams based on their mass/charge ratio.",1,false,2016-03-10 06:47:31.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB46/,SDN:L05::LAB46,proton transfer reaction mass spectrometers,"","Instruments that ionise trace gas molecules by proton transfer from protonated water, H3O. Ions of specific mass-to-charge ratios are then quantified in 
a quadrupole or time-of-flight mass spectrometer.",1,false,2016-02-01 17:47:56.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB06/,SDN:L05::LAB06,fluorescence microscopes,"","Instruments that generate enlarged images of samples using the phenomena of fluorescence and phosphorescence instead of, or in addition to, reflection and absorption of visible light. Includes conventional and inverted instruments.",1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB05/,SDN:L05::LAB05,optical microscopes,"",Instruments that generate enlarged images of samples using the phenomena of reflection and absorption of visible light. Includes conventional and inverted instruments.,1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/101/,SDN:L05::101,anemometers,"",Instrument that measures wind speed and direction at a single elevation.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB01/,SDN:L05::LAB01,elemental analysers,"","Instruments that quantify carbon, nitrogen and sometimes other elements by combusting the sample at very high temperature and assaying the resulting gaseous oxides. Usually used for samples including organic material.",1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/52/,SDN:L05::52,sediment porewater samplers,"",A device that collects samples of pore water from various horizons below the seabed.,1,false,2007-11-20 08:50:03.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB10/,SDN:L05::LAB10,atomic absorption spectrometers,"","Instruments that volatilise the sample, illuminate the resultant vapour with light wavelengths matched to the analyte of interest and quantify the radiation absorbed, which is proportional to concentration.",1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/385/,SDN:L05::385,platform attitude sensors,"",Instruments that measure platform orientation or rates of platform motion or acceleration in any direction or along any axis. Excludes inertial navigation systems that are designed to determine platform location with respect to an external co-ordinate reference system.,1,false,2010-09-15 11:00:32.0
http://vocab.nerc.ac.uk/collection/L05/current/SNAG/,SDN:L05::SNAG,airgun,"","A marine seismic source which injects a bubble of highly compressed air into the water. Oscillations of the bubble as it alternatively expands and contracts generate a sonic wave whose frequency depends on the amount of air in the bubble, its pressure, and the water depth.",1,false,2010-10-18 13:23:56.0
http://vocab.nerc.ac.uk/collection/L05/current/153/,SDN:L05::153,single-channel seismic reflection systems,"",An energy source of unspecified frequency plus a single string of towed hydrophones (streamer) that determine geologic structure by detecting waves reflected by subsurface layers.,2,false,2010-02-19 11:58:13.0
http://vocab.nerc.ac.uk/collection/L05/current/362/,SDN:L05::362,250 Hz top-bandwidth single-channel seismic reflection systems,"",An energy source with a frequency up to 250 Hz (sampling interval ranging from 2-8 msec) plus a single string of towed hydrophones (streamer) that determine geologic structure by detecting waves reflected by subsurface layers.,1,false,2010-02-19 11:52:56.0
http://vocab.nerc.ac.uk/collection/L05/current/154/,SDN:L05::154,multi-channel seismic reflection systems,"",An energy source of unspecified frequency plus a multiple strings of towed hydrophones (streamers) that determine geologic structure by detecting waves reflected by subsurface layers.,2,false,2010-02-19 11:59:29.0
http://vocab.nerc.ac.uk/collection/L05/current/375/,SDN:L05::375,250 Hz top-bandwidth multi-channel seismic reflection systems,"",An energy source with a frequency up to 250 Hz (sampling interval ranging from 2-8 msec) plus a multiple strings of towed hydrophones (streamers) that determine geologic structure by detecting waves reflected by subsurface layers.,1,false,2010-02-19 11:52:56.0
http://vocab.nerc.ac.uk/collection/L05/current/68/,SDN:L05::68,multinet,"","A system comprising several nets that can be opened and closed sequentially to collect a series of samples during a tow or haul. Samples microzooplankton, mesozooplankton and nekton.",1,false,2011-11-25 11:47:24.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB21/,SDN:L05::LAB21,liquid scintillation counters,"",Instruments assaying alpha and beta radiation by quantitative detection of visible light produced by the passage of rays or particles through a suitable scintillant incorporated into the sample.,2,false,2018-07-30 16:26:53.0
http://vocab.nerc.ac.uk/collection/L05/current/123/,SDN:L05::123,optical backscatter sensors,"",Instrument that measures the amount of electromagnetic radiation emitted into the water column returned to the instrument.,1,false,2007-11-20 09:34:40.0
http://vocab.nerc.ac.uk/collection/L05/current/NATS/,SDN:L05::NATS,natural source,"","Any kind of natural source of acoustic waves, that can be used in passive seismics.",2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/ERTQ/,SDN:L05::ERTQ,earthquake,"",A sudden release of stress in the Earth's crust that creates energy in the form of seimic waves.,1,false,2010-10-18 13:23:56.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB49/,SDN:L05::LAB49,Atomic fluorescence spectrometers,AFS,"Instruments that illuminate the vapour from volatilised samples with light and quantify the intensity of light emitted, which is usually proportional to concentration.",1,false,2016-11-29 15:10:58.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB27/,SDN:L05::LAB27,bench particle sizers,"",Instruments that measure the size spectrum of particles in a water or sediment sample.,2,false,2017-08-08 14:51:13.0
http://vocab.nerc.ac.uk/collection/L05/current/DLOG/,SDN:L05::DLOG,data loggers,"",Electronic devices that record data over time or in relation to location either with a built-in instrument or sensor or via external instruments and sensors.,1,false,2017-12-05 11:14:23.0
http://vocab.nerc.ac.uk/collection/L05/current/381/,SDN:L05::381,precipitation gauges,"","Instruments that measure either the rate of fall or integrated amount of rain, snow, sleet, hail or graupel.",1,false,2010-09-15 10:35:20.0
http://vocab.nerc.ac.uk/collection/L05/current/368/,SDN:L05::368,seismometers,"",Devices placed on the ground or seabed to measure physical movement of that substrate.,1,false,2010-02-19 11:52:56.0
http://vocab.nerc.ac.uk/collection/L05/current/306/,SDN:L05::306,synthetic aperture radars,"",Instruments that generate maps of radar reflectivity through the synthesis of multiple pulses from a moving platform.,1,false,2008-01-10 16:21:12.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB42/,SDN:L05::LAB42,laboratory optical rangefinders,"",Devices used to detect the distance between sensor and sample or presence/absence of an object based a light (often infrared and possibly laser) transmitter and a photoelectric receiver.,1,false,2013-12-19 09:08:24.0
http://vocab.nerc.ac.uk/collection/L05/current/SPRK/,SDN:L05::SPRK,Sparker,"",A seismic source in which an electrical discharge in water is the energy source.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB23/,SDN:L05::LAB23,bench fluorometers,"",Instruments that determinesthe amount of chlorophyll in in-vitro samples by measuring the quantity of red light (around 685nm) emitted following excitation by pulses of blue light (around 460-470nm).,1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB03/,SDN:L05::LAB03,colorimeters,"",Instruments measuring the amount of light of a given wavelength absorbed by a sample of solution to determine the concentration of a specific coloured solute.,1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/11/,SDN:L05::11,discrete air samplers,"","A device that collects a sample of air from the atmosphere and stores it, usually under pressure, for subsequent analysis.",2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB02/,SDN:L05::LAB02,gas chromatographs,"","Instruments separating gases, volatile substances or substances dissolved in a volatile solvent by transporting an inert gas through a column packed with a sorbent to a detector for assay.",1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/304/,SDN:L05::304,ocean colour radiometers,"",Sensors that measure the intensity and nature of electromagnetic radiation in a manner optimised for the determination of ocean chlorophyll concentration.,2,false,2008-01-10 16:19:34.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB36/,SDN:L05::LAB36,flow injection analysers,"","Instruments that inject a sample into a flowing carrier solution, adding reagents whilst controlling the environment to produce a chemical reaction before passing the sample to a detector.",1,false,2012-08-02 14:44:24.0
http://vocab.nerc.ac.uk/collection/L05/current/356/,SDN:L05::356,redox potential sensors,"",Instruments that measure the tendency of the water column to either gain or lose electrons when it is subject to change by introduction of a new species.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/355/,SDN:L05::355,pH sensors,"",Instruments that measure the hydrogen ion concentration in the water column.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB17/,SDN:L05::LAB17,accelerator mass spectrometers,"","Instruments measuring the mass-to-charge ratio of the products of sample molecule disassociation, atom ionisation and ion acceleration in a particle accelerator.",1,false,2008-01-10 16:10:12.0
http://vocab.nerc.ac.uk/collection/L05/current/185/,SDN:L05::185,sound velocity sensors,"",Instrument that measures the velocity of sound in seawater.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/353/,SDN:L05::353,active fluorometers,"",Fluorometers that measure photosynthetic parameters by taking measurements whilst manipulating the phytoplankton with controlled high-intensity illumination such as pump and probe and FRRF.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/TRTG/,SDN:L05::TRTG,tracking tags,"",Devices attached to living organisms with the purpose of determining the location of those organisms as a function of time after tagging and release.,2,false,2015-08-04 12:15:32.0
http://vocab.nerc.ac.uk/collection/L05/current/LAB30/,SDN:L05::LAB30,salinometers,"",Instruments that measure the salinity of a collected water sample based on its electrical conductivity or optical properties.,2,false,2015-02-11 09:18:46.0
http://vocab.nerc.ac.uk/collection/L05/current/67/,SDN:L05::67,high-speed plankton samplers,HSS,"A fine-meshed net or filter towed behind a moving vessel that collects a single sample for a tow. Samples microzooplankton, mesozooplankton and nekton.",1,false,2011-11-25 11:45:36.0
http://vocab.nerc.ac.uk/collection/L05/current/150/,SDN:L05::150,in-situ particle sizers,"",Sensors or instruments physically located in any body of water that measure the size spectrum of particles suspended in it.,3,false,2017-08-08 14:48:18.0
http://vocab.nerc.ac.uk/collection/L05/current/114/,SDN:L05::114,current meters,"",Instrument that measures current speed and direction at a single depth.,2,false,2013-02-26 17:11:07.0
http://vocab.nerc.ac.uk/collection/L05/current/POS20/,SDN:L05::POS20,Motorola Mini-Ranger receivers,Mini-Ranger,"{
  ""frequency"": ""5410-5890MHz"",
  ""range"": ""up to 75km"",
  ""accuracy"": ""up to 2m"",
  ""notes"": ""A family of short-wave receivers that determine position by determining the line-of-sight distance from 3 or more transmitters set up for the survey.""
}",5,false,2015-12-09 11:25:50.0
http://vocab.nerc.ac.uk/collection/L05/current/POS01/,SDN:L05::POS01,Decca Navigator System main chain receivers,Decca main chain,"{
  ""frequency"": ""70 and 130kHz"",
  ""mode"": ""hyperbolic"",
  ""range"": ""450km (day) to 750km (night)"",
  ""accuracy"": ""50m(day) to 200m (night) in good conditions down to 2km near range limit"",
  ""operating"": ""WWII to 2001-03 (2000-03-31 in UK)"",
  ""notes"": "" Transmitter groups, each with a master and three slaves""
}",3,false,2015-12-09 11:25:50.0
http://vocab.nerc.ac.uk/collection/L05/current/181/,SDN:L05::181,nutrient analysers,"","Instrument that makes in-situ measurements of one or more of nitrate, nitrite, ammonium, urea, phosphate or silicate dissolved in the water column.",2,false,2013-02-26 17:11:07.0
